iso,country,oda_usd,non_oda_usd,total_usd,type,country_profile
HRV,Croatia,3057004.71,0.00,3057004.71,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/croatie.html
HUN,Hungary,0.00,674628600.00,674628600.00,encours,
IDN,Indonesia,14056759122.00,1372544880.00,15429304002.00,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/indonesie.html
IND,India,31911849404.00,6810257147.00,38722106551.00,encours,
IRN,Islamic Republic of Iran,0.00,54290572.64,54290572.64,encours,
IRQ,Iraq,6278348700.00,1888803327.00,8167152027.00,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/irak.html
JAM,Jamaica,15140090.79,2381438.79,17521529.58,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/jamaique.html
JOR,Jordan,4021127962.00,40612467.59,4061740429.59,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/jordanie.html
KAZ,Kazakhstan,136670099.80,0.00,136670099.80,encours,
KEN,Kenya,2771395323.00,288995532.40,3060390855.40,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/kenya.html
KGZ,Kyrgyz Republic,222133958.00,3813182.46,225947140.46,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/kirghizie.html
KHM,Cambodia,3179629128.00,1417056928.00,4596686056.00,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/cambodge.html
KNA,Saint Kitts and Nevis,1275085.09,0.00,1275085.09,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/saint-christophe-et-nieves.html
LAO,Lao People's Democratic Republic,498052606.50,187279971.60,685332578.10,encours,
LBN,Lebanon,142877470.50,0.00,142877470.50,encours,
